word,memory,syn,ant,type,day,def,syn_def,ant_def
Caulking,填縫,Sealing,Opening,Elite,32,To drive oakum into the seams of a ship's wooden deck or hull to make it watertight.,To hunt seals.,To make something accessible or allow for passage by moving from a shut position.
Separate,分開。中間是 a-r-a,Split,Join,Core,33,"(usually in the plural) Anything that is sold by itself, especially an article of clothing.",A crack or longitudinal fissure.,An intersection of piping or wiring; an interconnect.
Burden,負擔,Load,Relief,Core,33,A heavy load.,A burden; a weight to be carried.,The removal of stress or discomfort.
Uniform,制服/一致的,Consistent,Varied,Core,33,A distinctive outfit that serves to identify members of a group.,"(in the plural) Objects or facts that are coexistent, or in agreement with one another.",Diverse or miscellaneous
Incision,切口/切開。-sion字尾,Cut,,Elite,33,"A cut, especially one made by a scalpel or similar medical tool in the context of surgical operation; the scar resulting from such a cut.",The act of cutting.,
Accommodate,2隻貓(CC)2隻鼠(MM)同住,Lodge,Reject,Elite,33,"To render fit, suitable, or correspondent; to adapt.",A building for recreational use such as a hunting lodge or a summer cabin.,Something that is rejected.
Ornate,華麗,Fancy,Plain,Elite,34,To adorn; to honour.,The imagination.,"Flat, level."
Decline,下降/拒絕,Decrease,Accept,Core,34,"Downward movement, fall.",An amount by which a quantity is decreased.,"To receive, especially with a consent, with favour, or with approval."
Forbid,禁止/不許,Prohibit,Allow,Core,34,To disallow; to proscribe.,"To forbid, disallow, or proscribe officially; to make illegal or illicit.","To grant, give, admit, accord, afford, or yield; to let one have."
Affectionate,深情的/慈愛的,Loving,Cold,Core,34,(of a person) Having affection or warm regard; loving; fond.,"(usually transitive, sometimes intransitive, stative) To have a strong affection for (someone or something).",(of a thing) Having a low temperature.
Elusive,難以捉摸,Hidden,Clear,Elite,34,"Evading capture, comprehension or remembrance.",Located or positioned out of sight; not visually apparent.,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
Admission,准許進入。雙S,Entry,Exclusion,Core,35,The act or practice of admitting.,The act of entering.,The act of excluding or shutting out; removal from consideration or taking part.
Approve,雙P。兩隻拇指贊成,Support,Deny,Core,35,To sanction officially; to ratify; to confirm; to set as satisfactory.,(sometimes attributive) Something which supports.,To disallow or reject.
Oppose,反對。雙P,Resist,Support,Core,35,"To attempt to stop the progression of; to resist or antagonize by physical means, or by arguments, etc.; to contend against.",A protective coating or covering.,(sometimes attributive) Something which supports.
Zealous,熱衷。注意-ea-拼寫,Eager,Indifferent,Elite,35,"Full of zeal; ardent, fervent; exhibiting enthusiasm or strong passion.",Sharp; sour; acid.,A person who is indifferent or apathetic.
Enigma,謎團,Mystery,Fact,Elite,35,"Something or someone puzzling, mysterious or inexplicable.",Something secret or unexplainable; an unknown.,Something actual as opposed to invented.
Drought,乾旱。-ought,Dry,Flood,Core,36,"A period of unusually low rainfall, longer and more severe than a dry spell.",The process by which something is dried.,A (usually disastrous) overflow of water from a lake or other body of water due to excessive rainfall or other input of water.
Temperature,溫度。注意中間有-er-,Heat,Cold,Core,36,"A measure of cold or heat, often measurable with a thermometer.",Thermal energy.,(of a thing) Having a low temperature.
Amount,數量/總額,Quantity,,Core,36,"The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).","A fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items.",
Perpetual,永久,Eternal,Brief,Elite,36,"Lasting forever, or for an indefinitely long time",One who lives forever; an immortal.,A writ summoning one to answer to any action.
Vicarious,間接體驗的,Indirect,Direct,Elite,36,Delegated.,An indirect cost.,"To manage, control, steer."
Conscience,Science前有Con。良心,Morals,Immorality,Elite,37,"The moral sense of right and wrong, chiefly as it affects one's own behaviour.",(of a narrative) The ethical significance or practical lesson.,The state or quality of being immoral; vice.
Eager,渴望,Keen,Reluctant,Core,37,Sharp; sour; acid.,"To make cold, to sharpen.",Opposing; offering resistance (to).
Debate,辯論/爭論,Argue,Agreement,Core,37,"An argument, or discussion, usually in an ordered or formal setting, often with more than two people, generally ending with a vote or other decision.","To show grounds for concluding (that); to indicate, imply.",An understanding between entities to follow a specific course of conduct.
Contract,合約/收縮,Agreement,Expand,Core,37,"An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement.",An understanding between entities to follow a specific course of conduct.,To change (something) from a smaller form and/or size to a larger one; to spread out or lay open.
Complacent,自滿,Smug,Humble,Elite,37,Uncritically satisfied with oneself or one's achievements; smug.,"To make smug, or spruce.",(Baltimore) An arrest based on weak evidence intended to demean or punish the subject.
Unnecessary,不必要的。1C 2S,Extra,Essential,Core,38,Not needed or necessary.,"Something additional, such as an item above and beyond the ordinary school curriculum, or added to the usual charge on a bill.",A necessary ingredient.
Benefit,利益/好處,Advantage,Harm,Core,38,An advantage; help or aid from something.,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end.",Physical injury; hurt; damage
Wasteful,浪費的,Extravagant,Thrifty,Core,38,Inclined to waste or squander money or resources.,"Exceeding the bounds of something; roving; hence, foreign.",Evincing thrift; characterized by economy and good management of property; frugal.
Aristocracy,貴族,Nobility,Peasantry,Elite,38,"The nobility, or the hereditary ruling class.","A noble or privileged social class, historically accompanied by a hereditary title; aristocracy.","Impoverished rural farm workers, either as serfs, small freeholders or hired hands."
Weird,怪異的。注意它是例外 e 在 i 前,Strange,Normal,Elite,38,Fate; destiny; luck.,Vagina,"A line or vector that is perpendicular to another line, surface, or plane."
Cease,停止,Stop,Start,Core,39,Cessation; extinction (see without cease).,"A (usually marked) place where buses, trams or trains halt to let passengers get on and off, usually smaller than a station.",The beginning of an activity.
Recommend,一C雙M。推薦,Suggest,Reject,Core,39,"To bestow commendation on; to represent favourably; to suggest, endorse or encourage as an appropriate choice.",To imply but stop short of saying explicitly.,Something that is rejected.
Reveal,透露/顯露,Show,Hide,Core,39,The outer side of a window or door frame; the jamb.,"A play, dance, or other entertainment.",To put (something) in a place where it will be harder to discover or out of sight.
Subterranean,地下的,Underground,Surface,Elite,39,"Below ground, under the earth, underground","An underground railway, especially for mass transit of people in urban areas.","The overside or up-side of a flat object such as a table, or of a liquid."
Melancholy,憂鬱,Sad,Happy,Elite,39,"Black bile, formerly thought to be one of the four ""cardinal humours"" of animal bodies.",To make melancholy; to sadden or grieve (someone).,"A happy event, thing, person, etc."
Reserve,預訂/保留,Keep,Release,Core,40,(behaviour) Restriction.,"The main tower of a castle or fortress, located within the castle walls.","The event of setting (someone or something) free (e.g. hostages, slaves, prisoners, caged animals, hooked or stuck mechanisms)."
Distinguished,卓越的/著名的,Famous,Unknown,Core,40,To recognize someone or something as different from others based on its characteristics.,To make famous; to bring renown to.,"To undo the process of knowing, to lose knowledge of something."
Ancient,注意 c-i-e。古老的文物,Antique,Modern,Core,40,A person who is very old.,A grotesque representation of a figure; a gargoyle.,Someone who lives in modern times.
Lament,哀悼/悲嘆,Mourn,Celebrate,Elite,40,"An expression of grief, suffering, sadness or regret.","Sorrow, grief.",To extol or honour in a solemn manner.
Deceit,欺騙(名詞)。e在i前,Deception,Honesty,Elite,40,An act or practice intended to deceive; a trick.,An instance of actions and/or schemes fabricated to mislead someone into believing a lie or inaccuracy.,"The act, quality, or condition of being honest."
Invalid,無效的/病弱者,Weak,Valid,Core,41,"Not valid; not true, correct, acceptable or appropriate.",Lacking in force (usually strength) or ability.,"Well grounded or justifiable, pertinent."
Astonish,使驚訝,Amaze,Bore,Core,41,To surprise greatly.,"Amazement, astonishment.","A hole drilled or milled through something, or (by extension) its diameter."
Stress,壓力/強調,Pressure,Peace,Core,41,(Cause of) discomfort.,A pressing; a force applied to a surface.,"A state of tranquility, quiet, and harmony; absence of violence. For instance, a state free from civil disturbance."
Abundant,數量很多。-ant結尾,Plentiful,Scarce,Elite,41,Fully sufficient; found in copious supply; in great quantity; overflowing.,Existing in large number or ample amount.,"Uncommon, rare; difficult to find; insufficient to meet a demand."
Bewilder,使困惑,Confuse,Enlighten,Elite,41,"To confuse, disorientate, or puzzle someone, especially with many different choices.","To puzzle, perplex, baffle, bewilder (somebody).",To supply with light.
Government,政府。注意中間有-n-,Authority,Anarchy,Core,42,"The body with the power to make and/or enforce laws to control a country, land area, people or organization.",The power to enforce rules or give orders.,The state of a society being without authorities or an authoritative governing body.
Aid,幫助/援助,Assistance,Hinder,Core,42,"Help; assistance; succor, relief.",Aid; help; the act or result of assisting.,To make difficult to accomplish; to act as an obstacle; to frustrate.
Character,性格。Ch發k音,Nature,,Core,42,A being involved in the action of a story.,"The natural world; that which consists of all things unaffected by or predating human technology, production, and design. (Compare ecosystem.)",
Anxiety,焦慮。注意-x-拼寫,Worry,Calm,Elite,42,"An unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event.",A strong feeling of anxiety.,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
Interfere,干涉。中間全是-e-,Meddle,Assist,Elite,42,"To get involved or involve oneself, causing disturbance.",To interfere in or with; to concern oneself with unduly.,A helpful action or an act of giving.
Mercy,仁慈/寬恕,Clemency,Cruelty,Core,43,Relenting; forbearance to cause or allow harm to another.,"The gentle or kind exercise of power; leniency, mercy; compassion in judging or punishing.",An indifference to suffering or pleasure in inflicting suffering.
Superior,優越的/上級的,Better,Inferior,Core,43,A person of higher rank or quality.,"An entity, usually animate, deemed superior to another; one who has a claim to precedence; a superior.",A person of lower stature to another
Restore,恢復/修復,Repair,Damage,Core,43,The act of recovering data or a system from a backup.,The act of repairing something.,Injury or harm; the condition or measure of something not being intact.
Coax,哄騙/勸誘,Persuade,Force,Elite,43,A simpleton; a dupe.,"To successfully convince (someone) to agree to, accept, or do something, usually through reasoning and verbal influence.",Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.
Irascible,易怒,Angry,Calm,Elite,43,Easily provoked to outbursts of anger; irritable.,Displaying or feeling anger.,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
Grate,磨碎/壁爐。與Great同音,Shred,,Core,44,"A horizontal metal grill through which water, ash, or small objects can fall, while larger objects cannot","A long, narrow piece cut or torn off; a strip.",
Frequently,頻繁。注意-que-音,Often,Seldom,Core,44,At frequent intervals.,Frequent.,Rare; infrequent.
Embrace,擁抱/包含,Hug,Exclude,Core,44,An act of putting arms around someone and bringing the person close to the chest; a hug.,"A close embrace, especially when charged with such an emotion as represented by: affection, joy, relief, lust, anger, agression, compassion, and the like, as opposed to being characterized by formality, equivocation or ambivalence (a half-embrace or ""little hug"").",To bar (someone) from entering; to keep out.
Antiquity,古老/古代,Ancient,Modern,Elite,44,Ancient times; faraway history; former ages,A person who is very old.,Someone who lives in modern times.
Painstaking,辛苦的/勤勉的,Thorough,Lazy,Elite,44,The application of careful and attentive effort.,"A furrow between two ridges, to drain off the surface water.",A lazy person.
Digest,消化/文摘,Absorb,Eject,Core,45,To distribute or arrange methodically; to work over and classify; to reduce to portions for ready use or application.,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.,To compel (a person or persons) to leave.
Dwelling,住處,Home,,Core,45,"A house or place in which a person lives; a habitation, a home.",A dwelling.,
Trivial,微不足道的,Minor,Major,Core,45,Any of the three liberal arts forming the trivium.,"A person who is below the age of majority, consent, criminal responsibility or other adult responsibilities and accountabilities.",A military rank between captain and lieutenant colonel.
Inaugurate,舉行就職典禮,Begin,End,Elite,45,To induct into office with a formal ceremony.,Beginning; start.,The terminal point of something in space or time.
Covert,秘密的/隱密的。像Cover,Secret,Open,Elite,45,A covering.,A piece of knowledge that is hidden and intended to be kept hidden.,Not closed
Monotonous,單調,Boring,Varied,Core,46,Having an unvarying tone or pitch.,To inspire boredom in somebody.,Diverse or miscellaneous
Unite,團結/聯合,Join,Divide,Core,46,"A British gold coin worth 20 shillings, first produced during the reign of King James I, and bearing a legend indicating the king's intention of uniting the kingdoms of England and Scotland.",An intersection of piping or wiring; an interconnect.,A thing that divides.
Secure,安全的/穩固的,Safe,Loose,Core,46,"To make safe; to relieve from apprehensions of, or exposure to, danger; to guard; to protect.","A box, usually made of metal, in which valuables can be locked for safekeeping.",The release of an arrow.
Idiosyncrasy,癖好,Habit,Norm,Elite,46,A behavior or way of thinking that is characteristic of a person.,An action performed on a regular basis.,That which is normal or typical.
Calamity,災難/不幸,Disaster,Blessing,Elite,46,An event resulting in great loss.,"An unexpected natural or man-made catastrophe of substantial extent causing significant physical damage or destruction, loss of life or sometimes permanent change to the natural environment.","To make something holy by religious rite, sanctify."
Correct,正確的/糾正,Accurate,Wrong,Core,47,Free from error; true; accurate.,Telling the truth or giving a true result; exact; not defective or faulty,Something that is immoral or not good.
Retreat,撤退/退後,Withdraw,Advance,Core,47,"The act of pulling back or withdrawing, as from something dangerous, or unpleasant.","To pull (something) back, aside, or away.",A forward move; improvement or progression.
Marvellous,奇妙。雙L。-ous結尾,Wonderful,Awful,Core,47,Exciting wonder or surprise; astonishing; wonderful.,"Tending to excite wonder; surprising, extraordinary.",Very bad.
Judicious,明智,Wise,Foolish,Elite,47,"Having, characterized by, or done with good judgment or sound thinking.",To become wise.,"(of a person, an action, etc.) Lacking good sense or judgement; unwise."
Seize,抓住。e 在 i 前,Grab,Release,Elite,47,To deliberately take hold of; to grab or capture.,A sudden snatch at something.,"The event of setting (someone or something) free (e.g. hostages, slaves, prisoners, caged animals, hooked or stuck mechanisms)."
Nurseryman,苗圃人員/園丁,Gardener,,Core,48,A person who rears and sells plants in a nursery.,One who gardens; one who grows plants or cultivates a garden.,
Wholesome,健康的,Healthy,Unhealthy,Core,48,Promoting good physical health and well-being.,"Enjoying health and vigor of body, mind, or spirit: well.","Characterized by, or conducive to poor health"
Halt,停止/中止,Stop,Start,Core,48,To limp; move with a limping gait.,"A (usually marked) place where buses, trams or trains halt to let passengers get on and off, usually smaller than a station.",The beginning of an activity.
Dilapidated,破舊的/倒塌的,Run-down,New,Elite,48,To fall into ruin or disuse.,(of a person) Tired and exhausted.,Things that are new.
Adjacent,鄰近。注意-dj-拼寫,Near,Remote,Elite,48,"Something that lies next to something else, especially the side of a right triangle that is neither the hypotenuse nor the opposite.",The left side of a horse or of a team of horses pulling a carriage etc.,An element of broadcast programming originating away from the station's or show's control room.
Resort,求助/渡假勝地,Turn to,,Core,49,"A place where people go for recreation, especially one with facilities such as lodgings, entertainment, and a relaxing environment.","(said of objects) To become, to degenerate into.",
Quiver,抖動/顫抖,Tremble,Steady,Core,49,"A container for arrows, crossbow bolts or darts, such as those fired from a bow, crossbow or blowgun.","A shake, quiver, or vibration.","A rest or support, as for the hand, a tool, or a piece of work."
Opportunity,機會。雙P,Chance,Obstacle,Core,49,"A chance for advancement, progress or profit.",An opportunity or possibility.,"Something that impedes, stands in the way of, or holds up progress"
Affable,和藹可親的,Friendly,Hostile,Elite,49,"Receiving others kindly and conversing with them in a free and friendly manner; friendly, courteous, sociable.","A game which is of no consequence in terms of ranking, betting etc.",(chiefly in the plural) An enemy.
Audacious,大膽,Bold,Timid,Elite,49,Showing willingness to take bold risks; recklessly daring.,A dwelling; habitation; building.,Lacking in courage or confidence.
Recite,背誦/朗誦,Repeat,,Core,50,"To repeat aloud (some passage, poem or other text previously memorized, or in front of one's eyes), often before an audience.",An iteration; a repetition.,
Comrade,同志/夥伴,Friend,Enemy,Core,50,"A mate, companion, or associate.","A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.","Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else."
Diluted,稀釋的,Weakened,Strong,Core,50,"To make thinner by adding solvent to a solution, especially by adding water.",To make weaker or less strong.,Capable of producing great physical force.
Superfluous,多餘的/過剩的,Extra,Necessary,Elite,50,In excess of what is required or sufficient.,"Something additional, such as an item above and beyond the ordinary school curriculum, or added to the usual charge on a bill.","(usually with the definite article) A place to do the ""necessary"" business of urination and defecation: an outhouse or lavatory."
Innate,天生。雙N,Natural,Learned,Elite,50,To cause to exist; to call into being.,"A native inhabitant of a place, country etc.","Having much learning, knowledgeable, erudite; highly educated."
Restaurant,餐廳。注意-au-拼寫,Eatery,Home,Core,51,"An eating establishment in which diners are served food, usually by waiters at their tables but sometimes (as in a fast food restaurant) at a counter.",A restaurant or café; a place to purchase and eat food.,A dwelling.
Moderate,適度的/中等的,Average,Extreme,Core,51,"One who holds an intermediate position between extremes, as in politics.",The arithmetic mean.,"The greatest or utmost point, degree or condition."
Extremely,極端地。注意字尾-ly,Very,Mildly,Core,51,(degree) To an extreme degree.,"True, real, actual.",In a mild manner.
Adolescent,青少年。-sc-拼寫,Teen,Adult,Elite,51,A person who is in adolescence; someone who has reached puberty but is not yet an adult.,A teenager.,A fully grown human or animal.
Nuisance,討厭的人。-ui-拼寫,Annoyance,Pleasure,Elite,51,A minor annoyance or inconvenience.,That which annoys.,A state of being pleased or contented; gratification.
Profit,利潤/好處,Gain,Loss,Core,52,Total income or cash flow minus expenditures. The money or other benefit a non-governmental organization or individual receives in exchange for products and services sold at an advertised price.,The act of gaining; acquisition.,"The result of no longer possessing an object, a function, or a characteristic due to external causes or misplacement."
Peculiar,奇怪的/特有的,Odd,Normal,Core,52,That which is peculiar; a sole or exclusive property; a prerogative; a characteristic.,(diminutive) An odd number.,"A line or vector that is perpendicular to another line, surface, or plane."
Company,公司/陪伴,Firm,Solitude,Core,52,A team; a group of people who work together professionally.,A business partnership; the name under which it trades.,"Aloneness; state of being alone or solitary, by oneself."
Frivolous,輕浮,Silly,Serious,Elite,52,"Silly, especially at an inappropriate time or in an inappropriate manner.",A silly person.,Without humor or expression of happiness; grave in manner or disposition
Ominous,不祥,Threatening,Lucky,Elite,52,Of or pertaining to an omen or to omens; being or exhibiting an omen; significant.,To make a threat against someone; to use threats.,(of people) Favoured by luck; fortunate; having good success or good fortune
Physical,身體。注意-ph-與-y-,Bodily,Mental,Core,53,Physical examination.,"Of, relating to, or concerning the body.",Of or relating to the mind or an intellectual process.
Reside,居住。與 Residence 相關,Live,Depart,Core,53,To dwell permanently or for a considerable time; to have a settled abode for a time; to remain for a long time.,To be alive; to have life.,"Division; separation, as of compound substances."
Meant,意思(Mean的過去式),,,Core,53,To intend.,,
Dismal,憂鬱的/淒涼的,Gloomy,Bright,Elite,53,Disappointingly inadequate.,"Not very illuminated; dim because of darkness, especially when appearing depressing or frightening.","An artist's brush used in oil and acrylic painting with a long ferrule and a flat, somewhat tapering bristle head."
Volatile,不穩定的/易變的,Unstable,Steady,Elite,53,A chemical or compound that changes into a gas easily.,To release (an animal) from a stable.,"A rest or support, as for the hand, a tool, or a piece of work."
Vegetable,蔬菜。注意中間有-e-,Plant,Meat,Core,54,Any plant.,"An organism that is not an animal, especially an organism capable of photosynthesis. Typically a small or herbaceous organism of this kind, rather than a tree.",The flesh (muscle tissue) of an animal used as food.
Pioneer,先驅/拓荒者,Leader,Follower,Core,54,"One who goes before, as into the wilderness, preparing the way for others to follow.",Any person that leads or directs,"One who follows, comes after another."
Ambitious,有野心的,Eager,Lazy,Core,54,"(of a person or their character) Having or showing ambition; wanting a lot of power, honor, respect, superiority, or other distinction.",Sharp; sour; acid.,A lazy person.
Discrepancy,差異,Difference,Match,Elite,54,An inconsistency between facts or sentiments.,The quality of being different.,"A competitive sporting event such as a boxing meet, a baseball game, or a cricket match."
Deficiency,缺乏,Lack,Surplus,Elite,54,Inadequacy or incompleteness.,A defect or failing; moral or spiritual degeneracy.,"That which remains when use or need is satisfied, or when a limit is reached; excess; overplus."
Description,描述。注意是-scrip-,Account,,Core,55,A sketch or account of anything in words; a portraiture or representation in language; an enumeration of the essential qualities of a thing or species.,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review.",
Conclude,結論/結束,Finish,Start,Core,55,To end; to come to an end.,An end; the end of anything.,The beginning of an activity.
Communicate,溝通。雙M,Convey,Silence,Core,55,To impart,To move (something) from one place to another.,The absence of any sound.
Haphazard,隨意,Random,Planned,Elite,55,"Random; chaotic; incomplete; not thorough, constant, or consistent.",A roving motion; course without definite direction; lack of rule or method; chance.,"To design (a building, machine, etc.)."
Enthusiastic,熱衷,Eager,Apathetic,Elite,55,"With zealous fervor; excited, motivated.",Sharp; sour; acid.,Void of feeling; not susceptible of deep emotion
Succumb,屈服/病死。b 不發音,Yield,Survive,Elite,56,To yield to an overpowering force or overwhelming desire.,"To pay, give in payment; repay, recompense; reward; requite.","Of a person, to continue to live; to remain alive."
Punctual,準時的,On time,Late,Core,56,Prompt; on time.,Punctual or according to schedule.,A shift (scheduled work period) that takes place late in the day or at night.
Summit,山頂/峰會。雙M,Peak,Bottom,Core,56,"A peak; the topmost point or surface, as of a mountain.","A point; the sharp end or top of anything that terminates in a point; as, the peak, or front, of a cap.",The lowest part of anything.
Environment,環境。中間有-n-,Surroundings,,Core,56,"The surroundings of, and influences on, a particular item of interest.",An outlying area; area in proximity to something,
Emancipate,解放,Free,Enslave,Elite,56,To set free from the power of another; to liberate; as:,Free transfer,To make subservient; to strip one of freedom; enthrall.
Excitement,激動/興奮。注意中間有-e-,Thrill,Boredom,Core,57,The state of being excited (emotionally aroused).,"A trembling or quivering, especially one caused by emotion.",The state of being bored.
Parallel,平行的。兩條L就是平行的,Even,Crooked,Core,57,One of a set of parallel lines.,(diminutive) An even number.,"To bend, or form into a hook."
Queue,排隊。全是元音,Line,Disperse,Core,57,An animal's tail.,"A path through two or more points (compare ‘segment’); a continuous mark, including as made by a pen; any path, curved or straight.",To scatter in different directions
Mischievous,頑皮。注意-ous前無-i,Naughty,Good,Elite,57,Causing mischief; injurious.,Mischievous; tending to misbehave or act badly (especially of a child).,(of people)
Destitute,赤貧的/窮困落魄,Poor,Wealthy,Elite,57,"(followed by the preposition ""of"") Lacking something; devoid","(with ""the"") Those who have little or no possessions or money, taken as a group.",A rich person.
Candidate,候選人。-idate,Applicant,,Core,58,A person who is running in an election.,One who applies for something; one who makes a request; a petitioner.,
Symbol,符號。注意-y-拼寫,Sign,Reality,Core,58,"A character or glyph representing an idea, concept or object.",(sometimes also used uncountably) A visible indication.,The state of being actual or real.
Category,類別。注意中間是-e-,Class,Individual,Core,58,"A group, often named or numbered, to which items are assigned based on similarity or defined criteria.","A group, collection, category or set sharing characteristics or attributes.","A person considered alone, rather than as belonging to a group of people."
Shrine,神龕/聖地,Holy place,,Elite,58,"A holy or sacred place dedicated to a specific deity, ancestor, hero, martyr, saint, or similar figure of awe and respect, at which said figure is venerated or worshipped.",a sacred place of pilgrimage,
Parliament,議會。注意中間有-ia-,Council,Anarchy,Elite,58,A formal council summoned (especially by a monarch) to discuss important issues.,"A committee that leads or governs (e.g. city council, student council).",The state of a society being without authorities or an authoritative governing body.
Merchant,商人。Merc-與貿易有關,Trader,,Core,59,A person who traffics in commodities for profit.,One who earns a living by trading goods or securities.,
Hasty,倉促的/草率的,Quick,Slow,Core,59,Acting in haste; being too hurried or quick,"Raw or sensitive flesh, especially that underneath finger and toe nails.",Someone who is slow; a sluggard.
Wholly,完全地。注意雙L,Totally,Partly,Core,59,Completely and entirely; to the fullest extent.,To the fullest extent or degree.,"In part, or to some degree, but not completely."
Contagious,傳染性,Catching,Safe,Elite,59,(of a disease) Easily transmitted to others.,"(heading) To capture, overtake.","A box, usually made of metal, in which valuables can be locked for safekeeping."
Deteriorate,惡化,Worsen,Improve,Elite,59,To make worse; to make inferior in quality or value; to impair.,To make worse; to impair.,To make (something) better; to increase the value or productivity (of something).
Interested,感興趣的,Keen,Bored,Core,60,"To engage the attention of; to awaken interest in; to excite emotion or passion in, in behalf of a person or thing.","To make cold, to sharpen.",To inspire boredom in somebody.
Variety,多樣性。注意-ie-拼寫,Diversity,Sameness,Core,60,The quality of being varied; diversity.,The quality of being diverse or different; difference or unlikeness.,The quality of being the same; identity.
Accuse,指控。雙C拼寫,Blame,Pardon,Core,60,Accusation.,Censure.,Forgiveness for an offence.
Omen,預兆/前兆,Sign,,Elite,60,"Something which portends or is perceived to portend either a good or evil event or circumstance in the future, or which causes a foreboding; a portent or augury.",(sometimes also used uncountably) A visible indication.,
Perplexed,困惑的,Puzzled,Clear,Elite,60,To cause to feel baffled; to puzzle.,To perplex (someone).,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
Traitor,叛徒/賣國賊,Betrayer,Loyalist,Core,61,"Someone who violates an allegiance and betrays their country; someone guilty of treason; one who, in breach of trust, delivers their country to an enemy, or yields up any fort or place entrusted to his defense, or surrenders an army or body of troops to the enemy, unless when vanquished",one who reveals confidential information in return for money,"A person who is loyal to a cause, generally used as a political affiliation."
Anxious,焦慮的。注意 -x-,Worried,Calm,Core,61,Nervous and worried.,Thinking about unpleasant things that have happened or that might happen; feeling afraid and unhappy.,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
Oblige,被迫/必須/幫忙,Force,Free,Core,61,"To constrain someone by force or by social, moral or legal means.",Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.,Free transfer
Awkward,w-k-w。左右為難很尷尬,Clumsy,Graceful,Elite,61,Someone or something that is awkward.,A clumsy person.,"Having or showing grace in movement, shape, or proportion."
Brerevity,簡潔,Shortness,Length,Elite,61,,"The property of being short, of being small of stature or brief.",The distance measured along the longest dimension of an object.
Diminish,減少,Reduce,Increase,Core,62,To make smaller.,"To bring down the size, quantity, quality, value or intensity of something; to diminish, to lower.",An amount by which a quantity is increased.
Exhausted,筋疲力竭,Tired,Fresh,Core,62,To draw or let out wholly; to drain off completely,To become sleepy or weary.,"A rush of water, along a river or onto the land; a flood."
Puncture,刺穿/小洞,Hole,,Core,62,The act or an instance of puncturing.,"A hollow place or cavity; an excavation; a pit; an opening in or through a solid body, a fabric, etc.; a perforation; a rent; a fissure.",
Nostalgia,懷舊,Longing,Future,Elite,62,A longing for home or familiar surroundings; homesickness.,To take a long position in.,The time ahead; those moments yet to be experienced.
Candour,坦率,Honesty,Deceit,Elite,62,Whiteness; brilliance; purity.,"The act, quality, or condition of being honest.",An act or practice intended to deceive; a trick.
Neighbour,鄰居。注意-eigh-音,Friend,Stranger,Core,63,A person living on adjacent or nearby land; a person situated adjacently or nearby; anything (of the same type of thing as the subject) in an adjacent or nearby position.,"A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.","Not normal; odd, unusual, surprising, out of the ordinary."
Programme,程序/節目。雙M,Schedule,,Core,63,A set of structured activities.,A slip of paper; a short note.,
Special,特別的,Unique,Common,Core,63,A reduction in consumer cost (usually for a limited time) for items or services rendered.,A thing without a like; something unequalled or unparallelled.,"Mutual good, shared by more than one."
Obdurate,頑固,Stubborn,Flexible,Elite,63,To harden; to obdure.,Stubbornness.,Something that is flexible.
Contemporary,當代的。Con-temp,Modern,Old,Elite,63,"Someone or something living at the same time, or of roughly the same age as another.",Someone who lives in modern times.,"(with the, invariable plural only) People who are old; old beings; the older generation, taken as a group."
Proportion,比例/部分,Ratio,,Core,64,A quantity of something that is part of the whole amount or number.,A number representing a comparison between two named things.,
Worthy,值得的/尊敬的,Valuable,Useless,Core,64,A distinguished or eminent person,"A personal possession such as jewellery, of relatively great monetary value; — usually used in plural form.",Without use or possibility to be used.
Wound,傷口/創傷,Injury,Heal,Core,64,"An injury, such as a cut, stab, or tear, to a (usually external) part of the body.",Damage to the body of a human or animal.,A spell or ability that restores hit points or removes a status ailment.
Impudent,無理的/魯莽的,Rude,Polite,Elite,64,Not showing due respect; impertinent; bold-faced.,Bad-mannered.,To polish; to refine; to render polite.
Indevour,努力(Endeavour),Effort,Lazy,Elite,64,,The work involved in performing an activity; exertion.,A lazy person.
Equipment,裝備(名詞),Gear,,Core,65,"The act of equipping, or the state of being equipped, as for a voyage or expedition.","Equipment or paraphernalia, especially that used for an athletic endeavor.",
